,CaseNo,CaseTitle,Pertains,Justice,Vote,Appellant,Appellee
194,156-orig,New York v. New Jersey,Clause ,Elena Kagan,Majority,New York,New Jersey
195,156-orig,New York v. New Jersey,Clause ,Neil Gorsuch,Majority,New York,New Jersey
196,156-orig,New York v. New Jersey,Clause ,Amy Coney Barrett,Majority,New York,New Jersey
197,156-orig,New York v. New Jersey,Clause ,Ketanji Brown Jackson,Majority,New York,New Jersey
198,21-1158,Percoco v. United States,Clause ,"Samuel A. Alito, Jr.",Majority,Percoco,United States
199,21-1158,Percoco v. United States,Clause ,"John G. Roberts, Jr.",Majority,Percoco,United States
200,21-1158,Percoco v. United States,Clause ,Clarence Thomas,Majority,Percoco,United States
201,21-1158,Percoco v. United States,Clause ,Sonia Sotomayor,Majority,Percoco,United States
202,21-1158,Percoco v. United States,Clause ,Elena Kagan,Majority,Percoco,United States
203,21-1158,Percoco v. United States,Clause ,Neil Gorsuch,Majority,Percoco,United States
204,21-1158,Percoco v. United States,Clause ,Brett M. Kavanaugh,Majority,Percoco,United States
205,21-1158,Percoco v. United States,Clause ,Amy Coney Barrett,Majority,Percoco,United States
206,21-1158,Percoco v. United States,Clause ,Ketanji Brown Jackson,Majority,Percoco,United States
207,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Neil Gorsuch,Majority,Perez,"Sturgis Public Schools, et al."
208,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,"John G. Roberts, Jr.",Majority,Perez,"Sturgis Public Schools, et al."
209,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Clarence Thomas,Majority,Perez,"Sturgis Public Schools, et al."
210,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,"Samuel A. Alito, Jr.",Majority,Perez,"Sturgis Public Schools, et al."
211,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Sonia Sotomayor,Majority,Perez,"Sturgis Public Schools, et al."
212,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Elena Kagan,Majority,Perez,"Sturgis Public Schools, et al."
213,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Brett M. Kavanaugh,Majority,Perez,"Sturgis Public Schools, et al."
214,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Amy Coney Barrett,Majority,Perez,"Sturgis Public Schools, et al."
215,21-1599,Polselli v. Internal Revenue Service,Act ,"John G. Roberts, Jr.",Majority,Polselli,Internal Revenue Service
216,21-1599,Polselli v. Internal Revenue Service,Act ,Clarence Thomas,Majority,Polselli,Internal Revenue Service
